,#,Coin,,Price,1h,24h,7d,24h Volume,Mkt Cap,Last 7 Days
,1,Bitcoin BTC BTC,,"$39,309.47",-0.5%,-1.0%,1.5%,"$20,777,452,593","$746,692,962,744",
,2,Ethereum ETH ETH,,"$2,620.45",-0.2%,1.1%,1.7%,"$12,392,275,467","$314,333,395,709",
,3,Tether USDT USDT,,$1.00,-0.0%,0.1%,0.0%,"$41,586,171,629","$80,105,288,241",
,4,BNB BNB BNB,,$371.60,-0.2%,-0.5%,-2.7%,"$1,140,611,195","$62,480,012,653",
,5,USD Coin USDC USDC,,$0.999860,-0.1%,-0.1%,-0.0%,"$2,948,146,518","$52,400,799,453",
,6,XRP XRP XRP,,$0.766076,0.0%,-1.2%,6.3%,"$3,444,585,940","$36,826,560,789",
,7,Terra LUNA LUNA,,$88.58,-0.0%,-6.6%,3.5%,"$2,300,507,786","$32,993,730,946",
,8,Solana SOL SOL,,$82.90,-0.7%,1.9%,0.8%,"$1,252,967,204","$26,782,829,080",
,9,Cardano ADA ADA,,$0.799922,-0.5%,-0.5%,-0.2%,"$667,611,436","$25,658,263,676",
,10,Polkadot DOT DOT,,$17.83,-0.2%,0.7%,5.2%,"$477,896,867","$19,542,246,752",
,11,Avalanche AVAX AVAX,,$69.92,-0.6%,1.4%,-4.1%,"$782,518,323","$18,668,753,894",
,12,Binance USD BUSD BUSD,,$0.999683,-0.0%,-0.0%,-0.0%,"$3,110,360,094","$17,957,609,757",
,13,Dogecoin DOGE DOGE,,$0.112726,-0.1%,-1.2%,-3.6%,"$404,012,464","$14,958,677,981",
,14,TerraUSD UST UST,,$1.00,-0.1%,0.0%,0.1%,"$693,988,283","$14,907,156,510",
,15,Shiba Inu SHIB SHIB,,$0.000021625506,-0.5%,-1.9%,-5.6%,"$454,943,700","$11,925,872,131",
,16,Wrapped Bitcoin WBTC WBTC,,"$39,358.94",-0.4%,-0.7%,1.7%,"$231,233,688","$10,734,138,041",
,17,Cronos CRO CRO,,$0.384402,-0.2%,1.2%,-0.7%,"$63,373,354","$9,711,153,302",
,18,Polygon MATIC MATIC,,$1.38,-0.8%,0.0%,-4.5%,"$546,219,466","$9,482,232,298",
,19,Dai DAI DAI,,$0.999653,-0.0%,0.1%,-0.0%,"$219,811,313","$9,353,951,902",
,20,Cosmos Hub ATOM ATOM,,$26.90,0.3%,0.1%,-3.3%,"$611,996,341","$7,816,798,006",
,21,Litecoin LTC LTC,,$106.94,-0.2%,1.2%,6.5%,"$559,755,573","$7,472,944,456",
,22,Near NEAR NEAR,,$10.13,-0.4%,-0.5%,4.1%,"$333,278,938","$6,636,021,265",
,23,Lido Staked Ether STETH STETH,,"$2,621.36",-0.2%,1.3%,1.8%,"$32,076,881","$6,560,351,779",
,24,Chainlink LINK LINK,,$13.71,0.2%,2.4%,4.8%,"$459,739,034","$6,404,873,805",
,25,TRON TRX TRX,,$0.060496549141,-0.0%,0.7%,-0.1%,"$565,291,859","$6,154,863,108",
,26,FTX Token FTT FTT,,$41.05,-0.4%,-1.1%,1.2%,"$56,185,986","$5,653,619,261",
,27,LEO Token LEO LEO,,$5.91,-0.0%,0.4%,4.4%,"$511,304","$5,537,348,514",
,28,Bitcoin Cash BCH BCH,,$289.40,-0.2%,-0.0%,1.8%,"$1,239,043,924","$5,502,054,495",
,29,Algorand ALGO ALGO,,$0.715476,-0.1%,1.2%,-3.1%,"$130,045,164","$4,741,480,449",
,30,OKB OKB OKB,,$18.18,-0.3%,-2.7%,2.3%,"$141,759,035","$4,730,189,423",
,31,Stellar XLM XLM,,$0.182658,0.7%,1.4%,5.4%,"$220,993,438","$4,489,120,478",
,32,Uniswap UNI UNI,,$8.72,0.4%,2.5%,-1.2%,"$123,767,048","$3,983,593,852",
,33,Hedera HBAR HBAR,,$0.200434,0.0%,-1.6%,-2.2%,"$46,220,708","$3,958,543,155",
,34,Axie Infinity AXS AXS,,$46.91,-0.5%,-1.9%,1.2%,"$167,252,746","$3,482,853,462",
,36,Elrond EGLD EGLD,,$157.26,0.2%,9.8%,18.9%,"$339,190,548","$3,456,373,026",
,35,Ethereum Classic ETC ETC,,$25.87,0.1%,-0.3%,-3.0%,"$217,100,309","$3,454,171,640",
,37,Decentraland MANA MANA,,$2.27,-0.2%,-1.9%,-5.0%,"$196,476,270","$3,436,354,709",
,38,Internet Computer ICP ICP,,$15.84,-0.2%,-2.5%,-6.0%,"$107,547,257","$3,371,317,357",
,39,Monero XMR XMR,,$183.30,0.1%,-1.4%,-10.2%,"$212,804,064","$3,315,793,024",
,40,cETH CETH CETH,,$52.56,-0.1%,1.1%,1.8%,$755.95,"$3,126,111,631",
,41,The Sandbox SAND SAND,,$2.73,-0.4%,-0.7%,-3.1%,"$248,445,615","$3,084,147,467",
,42,VeChain VET VET,,$0.045901943395,-0.3%,0.0%,-1.4%,"$205,973,311","$3,065,329,761",
,43,Fantom FTM FTM,,$1.20,0.8%,10.2%,-9.3%,"$956,272,858","$3,051,322,648",
,44,Filecoin FIL FIL,,$16.82,-0.7%,-3.7%,-6.6%,"$364,114,785","$3,006,631,758",
,45,Klaytn KLAY KLAY,,$1.08,-0.2%,-3.1%,-3.6%,"$56,679,938","$2,979,569,218",
,46,Osmosis OSMO OSMO,,$9.08,1.2%,-0.4%,-3.4%,"$98,438,485","$2,915,659,422",
,47,Frax FRAX FRAX,,$0.996449,-0.2%,-0.6%,-0.2%,"$25,834,590","$2,873,702,897",
,49,Waves WAVES WAVES,,$27.81,2.6%,5.6%,23.7%,"$643,583,229","$2,772,385,379",
,48,Magic Internet Money MIM MIM,,$0.996592,0.0%,-0.2%,0.1%,"$86,694,822","$2,768,764,023",
,50,Theta Network THETA THETA,,$2.73,0.0%,-1.9%,-3.9%,"$127,266,975","$2,725,488,692",
,51,The Graph GRT GRT,,$0.423317,-0.6%,14.9%,26.3%,"$397,693,435","$2,626,582,541",
,52,Tezos XTZ XTZ,,$2.97,0.2%,-1.1%,-1.2%,"$66,054,970","$2,616,467,547",
